otherProp,prob,selfProp,needDur,propDur,jitterDur,itiDur,partnerBlockNum,overallPartnerTrialNum,partnerBlockTrialNum,blockType
36,76,13,2.0,4.0,1.5,0.5,1,1,1,task
31,80,6,2.0,4.0,2.5,2.5,1,2,2,task
25,80,6,2.0,4.0,0.5,2.5,1,3,3,task
31,18,15,2.0,4.0,3.5,0.5,1,4,4,task
3,20,36,2.0,4.0,3.5,1.5,1,5,5,task
31,18,8,2.0,4.0,1.5,3.5,1,6,6,task
13,80,8,2.0,4.0,1.5,1.5,1,7,7,task
4,78,35,2.0,4.0,3.5,1.5,1,8,8,task
15,17,26,2.0,4.0,0.5,2.5,1,9,9,task
36,77,23,2.0,4.0,0.5,0.5,1,10,10,task
23,22,31,2.0,4.0,2.5,1.5,1,11,11,task
15,17,9,2.0,4.0,1.5,1.5,1,12,12,task
31,23,6,2.0,4.0,3.5,3.5,1,13,13,task
29,78,10,2.0,4.0,1.5,3.5,1,14,14,task
15,20,30,2.0,4.0,3.5,0.5,1,15,15,task
5,22,31,2.0,4.0,0.5,3.5,1,16,16,task
10,80,26,2.0,4.0,2.5,2.5,1,17,17,task
15,83,28,2.0,4.0,2.5,3.5,1,18,18,task
36,18,16,2.0,4.0,0.5,0.5,1,19,19,task
31,83,15,2.0,4.0,2.5,2.5,1,20,20,task
36,19,16,2.0,4.0,2.5,2.5,2,21,1,task
4,77,25,2.0,4.0,1.5,0.5,2,22,2,task
11,82,16,2.0,4.0,1.5,2.5,2,23,3,task
9,78,33,2.0,4.0,2.5,0.5,2,24,4,task
35,77,9,2.0,4.0,0.5,2.5,2,25,5,task
6,16,23,2.0,4.0,0.5,0.5,2,26,6,task
10,20,29,2.0,4.0,1.5,3.5,2,27,7,task
9,16,26,2.0,4.0,1.5,0.5,2,28,8,task
30,23,15,2.0,4.0,0.5,3.5,2,29,9,task
23,83,35,2.0,4.0,3.5,3.5,2,30,10,task
29,21,4,2.0,4.0,2.5,0.5,2,31,11,task
34,78,4,2.0,4.0,3.5,3.5,2,32,12,task
5,83,29,2.0,4.0,2.5,1.5,2,33,13,task
23,23,34,2.0,4.0,0.5,2.5,2,34,14,task
34,82,14,2.0,4.0,3.5,1.5,2,35,15,task
30,79,3,2.0,4.0,3.5,3.5,2,36,16,task
35,23,8,2.0,4.0,1.5,1.5,2,37,17,task
29,23,9,2.0,4.0,0.5,1.5,2,38,18,task
6,20,16,2.0,4.0,2.5,1.5,2,39,19,task
15,78,25,2.0,4.0,3.5,2.5,2,40,20,task
26,22,14,2.0,4.0,2.5,3.5,3,41,1,task
6,17,26,2.0,4.0,2.5,2.5,3,42,2,task
28,21,26,2.0,4.0,3.5,1.5,3,43,3,task
29,80,26,2.0,4.0,0.5,3.5,3,44,4,task
3,81,15,2.0,4.0,3.5,1.5,3,45,5,task
31,81,9,2.0,4.0,1.5,0.5,3,46,6,task
23,21,13,2.0,4.0,0.5,2.5,3,47,7,task
5,21,29,2.0,4.0,3.5,3.5,3,48,8,task
35,17,16,2.0,4.0,0.5,1.5,3,49,9,task
3,77,28,2.0,4.0,3.5,2.5,3,50,10,task
13,22,3,2.0,4.0,2.5,1.5,3,51,11,task
9,21,33,2.0,4.0,1.5,0.5,3,52,12,task
8,81,31,2.0,4.0,0.5,3.5,3,53,13,task
29,78,15,2.0,4.0,0.5,1.5,3,54,14,task
26,19,10,2.0,4.0,2.5,2.5,3,55,15,task
33,18,10,2.0,4.0,1.5,2.5,3,56,16,task
16,23,23,2.0,4.0,2.5,0.5,3,57,17,task
3,76,24,2.0,4.0,3.5,0.5,3,58,18,task
33,81,15,2.0,4.0,1.5,3.5,3,59,19,task
23,78,8,2.0,4.0,1.5,0.5,3,60,20,task
13,23,28,2.0,4.0,2.5,2.5,4,61,1,task
33,82,8,2.0,4.0,3.5,1.5,4,62,2,task
15,77,6,2.0,4.0,2.5,0.5,4,63,3,task
31,20,15,2.0,4.0,3.5,3.5,4,64,4,task
35,16,4,2.0,4.0,1.5,1.5,4,65,5,task
35,16,24,2.0,4.0,2.5,1.5,4,66,6,task
3,80,31,2.0,4.0,1.5,1.5,4,67,7,task
6,81,23,2.0,4.0,2.5,0.5,4,68,8,task
3,21,35,2.0,4.0,1.5,0.5,4,69,9,task
10,82,24,2.0,4.0,1.5,3.5,4,70,10,task
24,22,4,2.0,4.0,0.5,3.5,4,71,11,task
5,23,29,2.0,4.0,3.5,2.5,4,72,12,task
35,77,13,2.0,4.0,0.5,0.5,4,73,13,task
10,78,31,2.0,4.0,3.5,1.5,4,74,14,task
31,82,14,2.0,4.0,0.5,2.5,4,75,15,task
25,79,11,2.0,4.0,0.5,3.5,4,76,16,task
3,19,25,2.0,4.0,2.5,0.5,4,77,17,task
14,76,30,2.0,4.0,3.5,2.5,4,78,18,task
9,17,13,2.0,4.0,0.5,2.5,4,79,19,task
24,82,13,2.0,4.0,1.5,3.5,4,80,20,task
9,16,26,2.0,4.0,2.5,3.5,5,81,1,task
10,23,34,2.0,4.0,3.5,1.5,5,82,2,task
36,22,3,2.0,4.0,1.5,1.5,5,83,3,task
16,22,33,2.0,4.0,2.5,3.5,5,84,4,task
9,21,24,2.0,4.0,0.5,0.5,5,85,5,task
4,79,36,2.0,4.0,3.5,3.5,5,86,6,task
8,81,24,2.0,4.0,3.5,2.5,5,87,7,task
14,77,25,2.0,4.0,2.5,2.5,5,88,8,task
23,78,31,2.0,4.0,0.5,0.5,5,89,9,task
34,19,8,2.0,4.0,0.5,0.5,5,90,10,task
16,81,36,2.0,4.0,3.5,3.5,5,91,11,task
5,79,25,2.0,4.0,2.5,2.5,5,92,12,task
26,81,14,2.0,4.0,1.5,3.5,5,93,13,task
10,19,28,2.0,4.0,1.5,2.5,5,94,14,task
