otherProp,prob,selfProp,needDur,propDur,jitterDur,itiDur,partnerBlockNum,overallPartnerTrialNum,partnerBlockTrialNum,blockType
26,81,14,2.0,4.0,2.5,0.5,2,21,1,practice
13,22,3,2.0,4.0,0.5,2.5,2,22,2,practice
10,20,29,2.0,4.0,0.5,3.5,2,23,3,practice
24,21,9,2.0,4.0,3.5,1.5,2,24,4,practice
36,76,13,2.0,4.0,3.5,3.5,2,25,5,practice
29,80,26,2.0,4.0,0.5,3.5,2,26,6,practice
23,23,34,2.0,4.0,1.5,1.5,2,27,7,practice
10,78,31,2.0,4.0,0.5,0.5,2,28,8,practice
31,83,15,2.0,4.0,2.5,2.5,2,29,9,practice
3,81,15,2.0,4.0,1.5,3.5,2,30,10,practice
31,20,15,2.0,4.0,1.5,1.5,2,31,11,practice
15,20,30,2.0,4.0,3.5,0.5,2,32,12,practice
6,17,26,2.0,4.0,1.5,0.5,2,33,13,practice
10,82,24,2.0,4.0,2.5,3.5,2,34,14,practice
5,23,29,2.0,4.0,3.5,2.5,2,35,15,practice
36,18,16,2.0,4.0,2.5,0.5,2,36,16,practice
23,78,8,2.0,4.0,1.5,2.5,2,37,17,practice
29,23,9,2.0,4.0,0.5,2.5,2,38,18,practice
29,78,10,2.0,4.0,2.5,1.5,2,39,19,practice
15,83,28,2.0,4.0,3.5,1.5,2,40,20,practice
