"selfProp","otherProp","prob"
25,5,20
25,5,80
25,10,20
25,10,80
25,15,20
25,15,80
30,5,20
30,5,80
30,10,20
30,10,80
30,15,20
30,15,80
35,5,20
35,5,80
35,10,20
35,10,80
35,15,20
35,15,80
25,5,20
25,5,80
25,10,20
25,10,80
25,15,20
25,15,80
30,5,20
30,5,80
30,10,20
30,10,80
30,15,20
30,15,80
35,5,20
35,5,80
35,10,20
35,10,80
25,5,20
25,5,80
25,10,20
25,10,80
30,5,20
30,5,80
25,5,20
25,5,80
5,25,20
5,25,80
5,30,20
5,30,80
5,35,20
5,35,80
10,25,20
10,25,80
10,30,20
10,30,80
10,35,20
10,35,80
15,25,20
15,25,80
15,30,20
15,30,80
15,35,20
15,35,80
5,30,20
5,30,80
5,35,20
5,35,80
10,25,20
10,25,80
10,30,20
10,30,80
10,35,20
10,35,80
15,25,20
15,25,80
15,30,20
15,30,80
15,35,20
15,35,80
10,35,20
10,35,80
15,30,20
15,30,80
15,35,20
15,35,80
15,35,20
15,35,80
25,30,20
25,30,80
25,35,20
25,35,80
30,25,20
30,25,80
35,25,20
35,25,80
5,15,20
5,15,80
10,15,20
10,15,80
15,5,20
15,5,80
15,10,20
15,10,80
